ranked_id	hap	fit	model
H121	00010001001000011101	0.7853415935911576	nk
H122	10111101101101001101	0.7848551241664394	nk
H123	10110100101001110111	0.7843873429260938	nk
H124	00110100000011011011	0.783982046797102	nk
H125	00100000110101001101	0.7835116448200631	nk
H126	00011001001000011000	0.7830898714327931	nk
H127	00110000000000111101	0.7826197277975578	nk
H128	01011001000111011001	0.782207430320059	nk
H129	10110100101111011100	0.7818333610710991	nk
H130	00010010101001001100	0.781458682524274	nk
H131	00000000110001011101	0.7810338647833043	nk
H132	11110100001011101110	0.7806094798079256	nk
H133	01111000100101101000	0.780175965589763	nk
H134	00000001110101011001	0.7797595320031617	nk
H135	11011010101001010101	0.7793558353744247	nk
H136	00111100101001111010	0.7789789801394267	nk
H137	00111000000000010001	0.778554883652719	nk
H138	10111100000011011101	0.7780680488664392	nk
H139	00110000011111001100	0.7776381730949005	nk
H140	00010001001001000100	0.7772884271252483	nk
H141	01011001100011010100	0.7768654494930728	nk
H142	01010001010001010001	0.7764467321051088	nk
H143	01110100001001000111	0.7760662592103704	nk
H144	00110101001011001101	0.7757407745337069	nk
H145	01010000110111010000	0.7753579241136426	nk
H146	11110100000000001100	0.7749804141626341	nk
H147	00110000101011111101	0.77466329978605	nk
H148	01010001000100011101	0.7743380162864186	nk
H149	11110010100001011101	0.7739681154144314	nk
H150	11110010101111000100	0.7736284124990278	nk
H151	00010100100011010101	0.7732582158599293	nk
H152	10111001111001001100	0.772927314201834	nk
H153	10111001100101111101	0.7725653125092058	nk
H154	10010100100001000100	0.7722344087000911	nk
H155	01111000001000011000	0.7718997293785343	nk
H156	10010101101001000101	0.7715310098332522	nk
H157	00110100100011000001	0.7711877228618668	nk
H158	00110101000001010100	0.7707943238585785	nk
H159	01110000100000100000	0.7704693379742545	nk
H160	01110000111101010000	0.7701348535883513	nk
H161	00111001100011000101	0.7697815209969935	nk
H162	01010000111101010100	0.769460786767563	nk
H163	10010001001110011101	0.7690799086659649	nk
H164	01111000001101100000	0.7687430697549942	nk
H165	01010000110101000100	0.7683990878013575	nk
H166	00000001000001011000	0.7680300823200787	nk
H167	11010010000100010100	0.7677340819221754	nk
H168	01111001000101100001	0.7674065006844897	nk
H169	10010100101000011110	0.7671108210979173	nk
H170	01110100101011000101	0.7667750363690945	nk
H171	10011100100101001101	0.7664378745520973	nk
H172	10101001001001001101	0.7660876664356071	nk
H173	00111100001011011101	0.7657909661679191	nk
H174	00110011000011001101	0.7654951678709198	nk
H175	00000000101001011101	0.7651825809592233	nk
H176	00110000001101001011	0.7648443058410861	nk
H177	00010100101011010001	0.7645439165063245	nk
H178	11110010001111010101	0.7643090851378262	nk
H179	10110010000010011100	0.7639687565424896	nk
H180	00110000000010010001	0.7636296407520241	nk
H181	00111000101011101101	0.7633204354697024	nk
H182	10111011100101001101	0.7630102478776674	nk
H183	01110001110001001101	0.7627277736282737	nk
H184	11110010101100011101	0.7624479414929887	nk
H185	00110101001001010000	0.7620800245049737	nk
H186	00100000010000001101	0.7617718931548643	nk
