ranked_id	hap	fit	model	N_max	r/s
H000	01010010100001011001	1.0	nk	12	1.5044689594517826
H001	00011011100001011001	0.8980965235213231	nk	12	1.5044689594517826
H002	01010010100111010001	0.8787011154505046	nk	12	1.5044689594517826
H003	11110000000101010001	0.8669717449372321	nk	12	1.5044689594517826
H004	11010011110001001001	0.8597524883895319	nk	12	1.5044689594517826
H005	10011001100001111001	0.8524002235404469	nk	12	1.5044689594517826
H006	11000000101001011101	0.8465416442010478	nk	12	1.5044689594517826
H007	11010110100000001001	0.840852125979669	nk	12	1.5044689594517826
H008	10010001100001011001	0.8368324586889335	nk	12	1.5044689594517826
H009	11110000100000001011	0.8334600445207172	nk	12	1.5044689594517826
H010	01001000101001011001	0.8297716355558679	nk	12	1.5044689594517826
H011	01010011010101011101	0.8263683224709709	nk	12	1.5044689594517826
H012	01010010001101011001	0.82378264865129	nk	12	1.5044689594517826
H013	11010001000100001111	0.82102526265252	nk	12	1.5044689594517826
H014	11000001100101010001	0.8183360297265374	nk	12	1.5044689594517826
H015	01010101100101011101	0.8158932236111275	nk	12	1.5044689594517826
H016	11110110100001111000	0.8138323681477961	nk	12	1.5044689594517826
H017	11110000000101001111	0.8114460311604612	nk	12	1.5044689594517826
H018	10011010100101101001	0.8091815735939754	nk	12	1.5044689594517826
H019	00001010101101010001	0.8074856184317644	nk	12	1.5044689594517826
H020	00010110100101110000	0.8054421968349887	nk	12	1.5044689594517826
H021	11010100101001011001	0.8036495981475074	nk	12	1.5044689594517826
H022	00011111100001011001	0.8020130947646852	nk	12	1.5044689594517826
H023	10011111110001111000	0.8006511617211134	nk	12	1.5044689594517826
H024	00011010100001001001	0.7991016785968863	nk	12	1.5044689594517826
H025	10001110101101111000	0.797753089526503	nk	12	1.5044689594517826
H026	11000001001000001101	0.7963665027320921	nk	12	1.5044689594517826
H027	10011000100100100001	0.7950809720291461	nk	12	1.5044689594517826
H028	00011001100001010101	0.7937247278156684	nk	12	1.5044689594517826
H029	11110000000001111101	0.7924737331290248	nk	12	1.5044689594517826
H030	11110010000101001101	0.7910401773079019	nk	12	1.5044689594517826
H031	10011101110001111100	0.7897737267295314	nk	12	1.5044689594517826
H032	11010011100111011101	0.7886488290127766	nk	12	1.5044689594517826
H033	00111000100101111001	0.7874698829882318	nk	12	1.5044689594517826
H034	01010001000001001111	0.7863308635585783	nk	12	1.5044689594517826
H035	10101001000001011101	0.7852633271184393	nk	12	1.5044689594517826
H036	10101000000001011001	0.7840751795898576	nk	12	1.5044689594517826
H037	00011110100001011000	0.7829850719340539	nk	12	1.5044689594517826
H038	10010010100101000001	0.7819214679813259	nk	12	1.5044689594517826
H039	11000000101001111001	0.7810234708640317	nk	12	1.5044689594517826
H040	11110000000000000001	0.7799697714046591	nk	12	1.5044689594517826
H041	01001000101101010001	0.7788883381910051	nk	12	1.5044689594517826
H042	10101010100101011001	0.7779155093524991	nk	12	1.5044689594517826
H043	10010001000101011101	0.7770308094003986	nk	12	1.5044689594517826
H044	10011101100101110100	0.7762059609573522	nk	12	1.5044689594517826
H045	11010000110001010001	0.775161163528097	nk	12	1.5044689594517826
H046	10111001100011011001	0.7742464254842956	nk	12	1.5044689594517826
H047	10011010100111110001	0.7733771345487355	nk	12	1.5044689594517826
H048	11010001110111010101	0.7724905035009904	nk	12	1.5044689594517826
H049	11010001111001001101	0.7716024549032819	nk	12	1.5044689594517826
H050	11010111110101011001	0.7707815919296965	nk	12	1.5044689594517826
H051	11100011000000001001	0.7699986733321773	nk	12	1.5044689594517826
H052	10110000000001001001	0.7693333427286135	nk	12	1.5044689594517826
H053	00001011000001011001	0.7685113850005212	nk	12	1.5044689594517826
H054	01010111000101011101	0.767600425307017	nk	12	1.5044689594517826
H055	01011101100001011101	0.7668592190532015	nk	12	1.5044689594517826
H056	11000001101100000001	0.7660938980520379	nk	12	1.5044689594517826
H057	00010000101101010001	0.7653050539466593	nk	12	1.5044689594517826
H058	00011110101001111100	0.7646865884304866	nk	12	1.5044689594517826
H059	11000011100111011001	0.7639336228238992	nk	12	1.5044689594517826
H060	01010101100101110100	0.763230351085962	nk	12	1.5044689594517826
H061	10111000100101100001	0.7627282570607741	nk	12	1.5044689594517826
H062	00001110101001110000	0.7621232204964875	nk	12	1.5044689594517826
H063	10011001000011111101	0.7613739436710056	nk	12	1.5044689594517826
H064	10011000000101001101	0.7607271448025781	nk	12	1.5044689594517826
H065	10010110110001111000	0.7601370833411177	nk	12	1.5044689594517826
H066	10111001010000001111	0.7595553803754106	nk	12	1.5044689594517826
H067	00011011101101111001	0.7589310430432404	nk	12	1.5044689594517826
H068	10000010100101010001	0.7583936146113689	nk	12	1.5044689594517826
H069	11010111100000001101	0.7577810338611344	nk	12	1.5044689594517826
H070	11000001001100001101	0.7571755461283656	nk	12	1.5044689594517826
H071	11000100101000101000	0.7565831514742882	nk	12	1.5044689594517826
H072	10111110101101110000	0.7560305777811139	nk	12	1.5044689594517826
H073	10111011100001010001	0.7554884914757141	nk	12	1.5044689594517826
H074	11000000011001011101	0.7549726712085595	nk	12	1.5044689594517826
H075	11000110101101110000	0.7544116038136472	nk	12	1.5044689594517826
H076	10001111101001111100	0.7538729540116955	nk	12	1.5044689594517826
H077	00101010101001111001	0.753299115351195	nk	12	1.5044689594517826
H078	00011000100011111000	0.7527081304463726	nk	12	1.5044689594517826
H079	11000010101001001111	0.7521666069730261	nk	12	1.5044689594517826
H080	01010000110000011101	0.7516072773159261	nk	12	1.5044689594517826
H081	11010101100000101100	0.7510492031871313	nk	12	1.5044689594517826
