Generation	String	Fitness	Landscape	Algorithm
6	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Normal	novelty
7	1110000000111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
7	1111000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
7	1110000001111111111101100111111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
7	1110000001111111111101100110111001010000000001110110011101111110101111000011001011001110100100110001	49	Normal	novelty
7	0110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
7	1110000001111111111101100110110001010000000001110110011101111110101111000011011011001110100100110001	51	Normal	novelty
7	1110000001111111111101100110111001010000000001110110010101111110101111000011011011001110100100110001	49	Normal	novelty
7	1110000001111111111101100111111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
7	1110000001111111111101100110011001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
7	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
8	1110000001111111111101100110111001010000000001010110011101111110101111000011011111001110100100110001	50	Normal	novelty
8	1110000001111111111111100110111001010000000001010110011101111110101111000011011011001110100100110001	52	Normal	novelty
8	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100010001	52	Normal	novelty
8	1110000001111111111101100110111001010000000001011110011101111110101111000011011011001110100100110001	52	Normal	novelty
8	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100110110001	52	Normal	novelty
8	1110000001111111111101100110111001011000000001010110011101111110101111000011011011001110100100110001	52	Normal	novelty
8	1110000001111111111101100110111001110000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
8	1110000001111111111101100110111001010000000001010110011100111110101111000011011011001110100100110001	50	Normal	novelty
8	1110000001111011111101100110111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
8	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Normal	novelty
9	1110000001111111111101100110111001010000000001110010011101111110101111000011011011001110100100110001	51	Normal	novelty
9	1110000001111111111101100110111001010000000001110110011101111110101111000111011011001110100100110001	51	Normal	novelty
9	1110000001111111111101100110111001010000000001110010011101111110101111000011011011001110100100110001	51	Normal	novelty
9	1110000001111111111101100100111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
9	1110000001111111111101100110111001010000000000110110011101111110101111000011011011001110100100110001	51	Normal	novelty
9	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001010100100110001	49	Normal	novelty
9	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
9	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
9	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
9	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
10	1111000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
10	1110000001111111111101100110111001010000000001010110011101101110101111000011011011001110100100110001	52	Normal	novelty
10	1110000001111111111101100110111001010000000001010110011101111110101111000011011010001110100100110001	50	Normal	novelty
10	1110000001111111111101100110111001010000000001010110011101111110101111001011011011001110100100110001	50	Normal	novelty
10	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001100100100110001	52	Normal	novelty
10	1110000001111111111101100110111001010000000001010110011101111110101111000011011011101110100100110001	52	Normal	novelty
10	1110000001111111111101100010111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
10	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001010100100110001	50	Normal	novelty
10	1110000001111111111101100110111001010000000001010110011101111110101111000011011011001110100100110000	50	Normal	novelty
10	1110000001111111111101110110111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
11	1110000001111111111101110110111001010000000001010110011100111110101111000011011011001110100100110001	49	Normal	novelty
11	1110000001111111111101110110111001010000000001010110011101111110101111000011010011001110100100110001	51	Normal	novelty
11	1010000001111111111101110110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
11	1110000001111111111101110110111001010000000011010110011101111110101111000011011011001110100100110001	51	Normal	novelty
11	1110000001111111011101110110111001010000000001010110011101111110101111000011011011001110100100110001	49	Normal	novelty
11	1110000001111111111101110110111001010000000001010110011101101110101111000011011011001110100100110001	51	Normal	novelty
11	1110000001111111111101110110111001010000000001010110011101111111101111000011011011001110100100110001	49	Normal	novelty
11	1010000001111111111101110110111001010000000001010110011101111110101111000011011011001110100100110001	51	Normal	novelty
11	1110000001111111111101110110111001010000000001010110011101111110101111000011011011001110000100110001	49	Normal	novelty
11	1110000001111111111101110110111001010000000001110110011101111110101111000011011011001110100100110001	49	Normal	novelty
12	1110000001111111111101110110111001010000000001110100011101111110101111000011011011001110100100110001	50	Normal	novelty
12	1110000011111111111101110110111001010000000001110110011101111110101111000011011011001110100100110001	50	Normal	novelty
12	1110000001111111111101110110111001010000000001110110011101111110101111000011011011001110100100111001	50	Normal	novelty
12	1110000001111111111101110110111001010000000001110110011101111110101111000010011011001110100100110001	48	Normal	novelty
12	1110000001111111011101110110111001010000000001110110011101111110101111000011011011001110100100110001	48	Normal	novelty
12	1110000001111111111101110110111101010000000001110110011101111110101111000011011011001110100100110001	50	Normal	novelty
12	1110000001111111111101100110111001010000000011010110011101111110101111000011011011001110100100110001	52	Normal	novelty
12	1110000001111111111101110110111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
12	1110000001111111111101110110111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
12	1110000001111111111101110110111001010000000001010110011101111110101111000011011011001110100100110001	50	Normal	novelty
