Generation	String	Fitness	Landscape	Algorithm
6	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100110110001	54	Additive	novelty
7	0110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100110110001	53	Additive	novelty
7	1110000001111111111101100110110001010000000001110110011101111110101111000011011011001111100110110001	53	Additive	novelty
7	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100010110001	55	Additive	novelty
7	1110000001111111111101100110111001010000000001110110011101111110101111010011011011001111100110110001	53	Additive	novelty
7	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001111100100100001	51	Additive	novelty
7	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
7	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
7	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
7	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
7	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
8	1110000101111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
8	1110000001111111111101100110111001010000000001110110010101111110101111000011011011001111100100110001	54	Additive	novelty
8	1110000001111111111101100110111001010010000001110110011101111110101111000011011011001111100100110001	54	Additive	novelty
8	1110000001111111111101100110111001010000000001110110011101111110101111000011111011001111100100110001	52	Additive	novelty
8	1110000001111111111101100110111001010000000001110110011101111110101111000011111011001111100100110001	52	Additive	novelty
8	1110010001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	54	Additive	novelty
8	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	52	Additive	novelty
8	1110000001111111111101100110111001010000000001110110011101111110101111000011111011001111100100110001	52	Additive	novelty
8	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100110110001	54	Additive	novelty
8	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
9	1110100001111111101101100110111001010000000001110110011101111110101111000011011011001111100100110001	51	Additive	novelty
9	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Additive	novelty
9	1110100001111111111101100110111101010000000001110110011101111110101111000011011011001111100100110001	51	Additive	novelty
9	1110100001111111111101100110111001010000000001110110011101110110101111000011011011001111100100110001	53	Additive	novelty
9	1110100001111111111101100110111001010000000000110110011101111110101111000011011011001111100100110001	53	Additive	novelty
9	1110100001111111111101100110111001010000000001110110011101111110101110000011011011001111100100110001	51	Additive	novelty
9	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110000	53	Additive	novelty
9	1110100001111111111101100110111001010000010001110110011101111110101111000011011011001111100100110001	51	Additive	novelty
9	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001111100000110001	53	Additive	novelty
9	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
10	1110001001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
10	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111110100110001	52	Additive	novelty
10	1110000001111111111101100110111001010000000001110110011101111111101111000011011011001111100100110001	52	Additive	novelty
10	1110000001111111110101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
10	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100010001	54	Additive	novelty
10	1110000001111111111101100110111001010000000001110110011101111110101111100011011011001111100100110001	52	Additive	novelty
10	1110000001111111111101100110111001010000000001110110011101111110101111000011111011001111100100110001	52	Additive	novelty
10	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
10	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
10	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	52	Additive	novelty
11	1110100001111111110101100110111001010000000001110110011101111110101111000011011011001111100100110001	51	Additive	novelty
11	1110100001111111111101100110111001010000000001110110011111111110101111000011011011001111100100110001	51	Additive	novelty
11	1110100001111111111101100110111001010000000001110110011101111110101111000011111011001111100100110001	51	Additive	novelty
11	1110100001111111111101101110111001010000000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
11	1110100001111111111101100110111001010000000001110110011101111110101111000011111011001111100100110001	51	Additive	novelty
11	1110100001111111111101100110111001010000000001110110011101111110101110000011011011001111100100110001	51	Additive	novelty
11	1110100001111111111101100110111001010010000001110110011101111110101111000011011011001111100100110001	53	Additive	novelty
11	1110100001111111111101100110111001010000000001110110011101111110101111000011011011001111100100100001	51	Additive	novelty
11	1110100001111111111101000110111001010000000001110110011101111110101111000011011011001111100100110001	51	Additive	novelty
11	1110100001111111111101100110111001010000000001110110011101111110101111000010011011001111100100110001	53	Additive	novelty
12	1110100001111111111101100110111001010000000001110100011101111110101111000010011011001111100100110001	54	Additive	novelty
12	1110100001111111111001100110111001010000000001110110011101111110101111000010011011001111100100110001	54	Additive	novelty
