Generation	String	Fitness	Landscape	Algorithm
6	1110000001111111111101100010111001010000000001110110011101111110101111000111011011001110100100110001	50	Exponential	novelty
6	1110000001111111111101100010111001010000000001110100011101111110101111000011011011001110100100110001	48	Exponential	novelty
6	1110000001111111111101100010111001010000000001110110011101111110101111000010011011001110100100110001	48	Exponential	novelty
7	1110000001111111111101100010111001010000000001110110011101111110101111000010011011001110100100100001	49	Exponential	novelty
7	1110000001111111111101100010111001010000000001110110011101111110101101000010011011001110100100110001	47	Exponential	novelty
7	1110000001111111111101100010101001010000000001110110011101111110101111000010011011001110100100110001	47	Exponential	novelty
7	1110000001111111111101100010111001010000000001010110011101111110101111000010011011001110100100110001	47	Exponential	novelty
7	1110000001111111111101100010111001010000000000110110011101111110101111000010011011001110100100110001	47	Exponential	novelty
7	1110000001111111111101100010111001010000000001110110011101111110001111000010011011001110100100110001	49	Exponential	novelty
7	1110000001111111111101100010111001010000000101110110011101111110101111000010011011001110100100110001	47	Exponential	novelty
7	1110000001111111111101100010111001010000000001110110011101111110101111000010011011001110000100110001	49	Exponential	novelty
7	1110000001111111111001100010111001010000000001110110011101111110101111000010011011001110100100110001	47	Exponential	novelty
7	1110000001111111111101100110111001010000000001110110001101111110101111000011011011001110100100110001	49	Exponential	novelty
8	1110000001111111111101100110111001010000000001110110001101111110101111001011011011001110100100110001	50	Exponential	novelty
8	1110000001111111111101100110111001010000000001110110001101111110101111000001011011001110100100110001	48	Exponential	novelty
8	1110000001111111111101100110111001010000000001110110001101111110101011000011011011001110100100110001	50	Exponential	novelty
8	1110000001111111111101100110111001010000000001110110001101111110101111000011011010001110100100110001	48	Exponential	novelty
8	1110000001110111111101100110111001010000000001110110001101111110101111000011011011001110100100110001	50	Exponential	novelty
8	1110000001111111111101100110111001010000000001110110001101101110101111000011011011001110100100110001	48	Exponential	novelty
8	1110000001111111111101100010111001010000000001110110011101111110101111000010011011001110100100110001	48	Exponential	novelty
8	1110000001111111111101100010111001010000000001110110011101111110001111000011011011001110100100110001	50	Exponential	novelty
8	1110000001111111111001100010111001010000000001110110011101111110101111000011011011001110100100110001	48	Exponential	novelty
8	1110000001111111111001100110111001010000000001110110011101111110101111000010011011001110100100110001	48	Exponential	novelty
9	1110000001111111111001100110111001010000000001110110011101111110101111000010011011001110100100110101	47	Exponential	novelty
9	1110000001111111111001100111111001010000000001110110011101111110101111000010011011001110100100110001	49	Exponential	novelty
9	1110000001111111111001100110111001010000000001110110011101111110101111000010010011001110100100110001	49	Exponential	novelty
9	1110000001111111111001100110111001010000000001110110011101111110101101000010011011001110100100110001	47	Exponential	novelty
9	1110000001111111111001100110111001010000000001110110011101111110101111000010011011001110100110110001	49	Exponential	novelty
9	1110000001111111111001100110111001010000000001110110011101111110101111000010011011001111100100110001	47	Exponential	novelty
9	1110000001111111111001100110111001010000000001110110011101111110101111000010011011001110100100010001	49	Exponential	novelty
9	1110000001111111111001100111111001010000000001110110011101111110101111000010011011001110100100110001	49	Exponential	novelty
9	1110000001111111111101100110111001010000000001110110001101111110101111000011011011001110100100110001	49	Exponential	novelty
9	1110000001111111111101100110111001010000000001110110001101111110101111000011011011001110100100110001	49	Exponential	novelty
10	1110000001111111111101100110111001010000000001110110001101111110101111000011011011011110100100110001	50	Exponential	novelty
10	1110000001111111111101100110111001010000000001110110001101111111101111000011011011001110100100110001	48	Exponential	novelty
10	1110000001111110111101100110111001010000000001110110001101111110101111000011011011001110100100110001	50	Exponential	novelty
10	1110000001111111111101100110111001010000000001110110001101111110101111000011011010001110100100110001	48	Exponential	novelty
10	1110000001111111111101101110111001010000000001110110001101111110101111000011011011001110100100110001	48	Exponential	novelty
10	1110000001111111111101100110111001010000000001110110001101111110101111000011001011001110100100110001	50	Exponential	novelty
10	1110000001111111111101100110110001010000000001110110001101111110101111000011011011001110100100110001	48	Exponential	novelty
10	1110000001111111111101100110111001010000000001110110011101111110101111000010011011001110100100110101	48	Exponential	novelty
10	1110000001111111111101100111111001010000000001110110011101111110101111000010011011001110100100110001	50	Exponential	novelty
10	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Exponential	novelty
11	1110000001011111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
11	1110000001111111111101100110111001010000000001110110011101110110101111000011011011001110100100110001	49	Exponential	novelty
11	1110000001111111111101100110111001010000000001110110011101111110101111000011011011001111100100110001	49	Exponential	novelty
11	1110000001111111111101100110111001010000000001110110111101111110101111000011011011001110100100110001	51	Exponential	novelty
11	1110000001111111111101100110111001010000010001110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
11	0110000001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Exponential	novelty
11	1110000000111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
11	1110000001111111111101101110111001010000000001110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
11	1110000001111111111101100110111001010010000001110110011101111110101111000011011011001110100100110001	49	Exponential	novelty
11	1110001001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Exponential	novelty
12	1110001001111111111101100110111001010000000001110110011101111110101111000011011011001110100100010001	52	Exponential	novelty
12	1110001001111111111101100110111001010000000001110110011101111110101111000011011011001110100100111001	52	Exponential	novelty
12	1110001001111111111101100110111001010000000001111110011101111110101111000011011011001110100100110001	50	Exponential	novelty
12	1110001001111110111101100110111001010000000001110110011101111110101111000011011011001110100100110001	52	Exponential	novelty
12	1110001001111111111101100110111001011000000001110110011101111110101111000011011011001110100100110001	52	Exponential	novelty
12	1110001001111111111101100110111001011000000001110110011101111110101111000011011011001110100100110001	52	Exponential	novelty
12	1110001001111111111101100110111001011000000001110110011101111110101111000011011011001110100100110001	52	Exponential	novelty
12	1110000000111111111101100110111001010000000001110110011101111110101101000011011011001110100100110001	48	Exponential	novelty
12	1110000001011111111101100110111001010000000001110110011101111110101111000010011011001110100100110001	48	Exponential	novelty
12	1110000001111111111101100110111001010000000001110110011101110110101111000010011011001110100100110001	48	Exponential	novelty
13	1110000001111111111101100110111001010000000001110110011101110110101111000110011011001110100100110001	49	Exponential	novelty
13	1110000001111111111101100110111001010000000001110110011101110110101111010010011011001110100100110001	49	Exponential	novelty
13	1110000001111111111101000110111001010000000001110110011101110110101111000010011011001110100100110001	49	Exponential	novelty
13	1110000001111111111101100110111001010000000001110110011101110110101111000010011011001110101100110001	49	Exponential	novelty
13	1110000001111111111101100110111001010000000001110110011101110110101111000010011010001110100100110001	47	Exponential	novelty
13	1110000001111111111101100110111001010000000001110110011101110110100111000010011011001110100100110001	47	Exponential	novelty
13	1110000001111111111101100110111001010000000001110110011101110110101111000010011011001110000100110001	49	Exponential	novelty
13	1110000001111111111101100110111001010000000001110110011101110110101111000010011001001110100100110001	47	Exponential	novelty
13	1110000001111111111101100110111001010000000001110110011101110110100111000010011011001110100100110001	47	Exponential	novelty
13	1110001001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	51	Exponential	novelty
14	1110001001111111111101000110111001010000000001110110011101111110101111000011011011001110100100110001	52	Exponential	novelty
14	1100001001111111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	50	Exponential	novelty
14	1110001001111111111101100110111001010000000001110110011101111110101111000011011011001010100100110001	52	Exponential	novelty
14	1110001001101111111101100110111001010000000001110110011101111110101111000011011011001110100100110001	52	Exponential	novelty
14	1110001001111111111101100110111001010000000001110110011101111100101111000011011011001110100100110001	50	Exponential	novelty
14	1110001001111111111101100110111001010000000001110110011101111110101111000011011011101110100100110001	52	Exponential	novelty
14	1110000001111111111101100110111001010000000001110110011101111110101111000010011011001110101100110001	50	Exponential	novelty
14	1110000001111111111101100110111001010000000001110110011101111110100111000010011011001110100100110001	48	Exponential	novelty
14	1110000001111111111101100110111001010000000001110110011101111110101111000010011001001110100100110001	48	Exponential	novelty
14	1110001001111111111101100110111001010000000001110110011101111110101111000010011011001110100100110001	50	Exponential	novelty
15	1110001001111111111101100110101001010000000001110110011101111110101111000010011011001110100100110001	49	Exponential	novelty
15	1110001001111111111101100111111001010000000001110110011101111110101111000010011011001110100100110001	51	Exponential	novelty
15	1110001101111111111101100110111001010000000001110110011101111110101111000010011011001110100100110001	49	Exponential	novelty
15	1110001001111111111101100110111001010000000001110010011101111110101111000010011011001110100100110001	51	Exponential	novelty
